Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Vela Imprese,https://www.crunchbase.com/organization/vela-imprese,3,,"Milan, Lombardia, Italy",Private Equity Firm,Vela Imprese is a venture capital firm that funds small- and medium-sized technology companies based in Italy.,http://www.velaimprese.it,,,,3,,,,,"44,161",-0.2,-0.1,-1.1
WebMD,https://www.crunchbase.com/organization/webmd,2,,"New York, New York, United States",,WebMD provides timely and credible health information and services to consumers and healthcare professionals.,http://www.webmd.com,http://twitter.com/webmd,http://www.facebook.com/WebMD,http://www.linkedin.com/company/webmd-health-services,2,,,,,257,0.2,0.8,0.7
Ken Cron,https://www.crunchbase.com/person/ken-cron,2,,"Stamford, Connecticut, United States",Angel,,,,,,2,,,,,"12,722",-0.3,-0.6,-0.2
Udo Schloemer,https://www.crunchbase.com/person/udo-schloemer,2,,"Berlin, Berlin, Germany",Angel,"Udo Schloemer founded his first company in 1992 and realized € 500 million project volume as a real-estate entrepreneur ever since. After angel investing in 50+ Berlin-based startups - including local heroes, such as 6wunderkinder, EyeEm, Monoqi and more - he founded Factory, Germany’s largest startup campus in 2011. At Factory, Udo combines his one of a kind real estate expertise with his passion for startups. His long-term vision is to create a European Silicon Valley by bringing together best in class technology businesses and connecting old & new economy.",,https://twitter.com/UdoSchloemer,,https://www.linkedin.com/pub/udo-schloemer/30/396/b7a/en,2,,,,,"13,769",-0.3,0.0,0.5
Bright Ventures,https://www.crunchbase.com/organization/bright-ventures,2,,"Amsterdam, Noord-Holland, The Netherlands",Venture Capital,Bright Light Ventures is an innovation and entrepreneurial incubator with a focus on sustainable solutions for everyday life.,http://brightventures.nl,,,,2,1,,,,"14,661",0.2,0.2,2.0
Mario Mariani,https://www.crunchbase.com/person/mario-mariani,2,,"Cagliari, Sardegna, Italy",Angel,"Mario has almost 20 years of experience in Telco and New Media, working for companies at different stages of the life cycle. After graduating with a Master’s degree in “Technology Innovation Management” from Scuola Superiore di Studi Sant’Anna in Pisa. From 1995 he worked as Product Manager for Online Services for Video On Line (which later became Tin.it), the first italian Internet service provider, following the start-up phase and the acquisition by Telecom Italia. In 1998 he co-founded Tiscali, first as Marketing & Communication Director and then as SVP Media & VAS, coordinating Tiscali’s pan-European activities in this area and promoting the creation of Tiscali LABS and in July 2006 he was appointed CEO of Tiscali Italia SpA. In January 2009 he founded The Net Value and scouted several successful start-ups such as Paperlit and Apps-Builder. Mario was member of the “task force” established by The Minister of the Economic development to inspire the new legislation to support the s",,https://twitter.com/mariomariani,,https://www.linkedin.com/in/marianimario,2,1,,,,"23,019",1.2,1.5,2.6
Ira Lubert,https://www.crunchbase.com/person/ira-m-lubert,2,1,"Philadelphia, Pennsylvania, United States",Angel,Ira M. Lubert is Board of Trustees at National Constitution Center.,,,,,2,,,,,"23,182",-0.3,-0.4,1.4
Dror Shimshowitz,https://www.crunchbase.com/person/dror-shimshowitz,2,1,"Menlo Park, California, United States",Angel,,,https://twitter.com/Topdror,,https://www.linkedin.com/in/topdror,2,,,,,"24,151",-0.9,-1.9,-2.5
Mark Ferguson,https://www.crunchbase.com/person/mark-ferguson,2,,"London, England, United Kingdom",Angel,"Son of Alex Ferguson, the former manager of the Manchester United football club.",,,,,2,,,,,"25,242",0.3,1.1,0.7
Max Biller,https://www.crunchbase.com/person/max-biller,2,,"Berlin, Berlin, Germany",Angel,"Max Biller is COO of Bonial International Group, the global alliance of companies in the United States, Germany, France, Spain, Russia and Brazil providing location-based “research online and purchase offline” services to retailers, manufacturers and consumers. The experienced entrepreneur and Internet manager accounts for the company’s internationalization and is managing the group together with CEO Christian Gaiser.  Prior to his role at Bonial, Max successfully founded multiple enterprises in the media and Internet sector.  Recently, Max Biller acted as General Manager of Axel Springer AG’s Electronic Media Division, where he orchestrated numerous international acquisitions and absorptions.  Previously, Max worked as a Consultant for the Boston Consulting Group for several years.  Max holds a Master degree in Economics of the University of Hamburg and a Master degree in Mathematical Economics of the University of Sydney.",,,,http://de.linkedin.com/pub/max-biller/23/9b0/b5a/en,1,,,,,"30,648",0.6,1.4,2.3
Michail Eleftheriou,https://www.crunchbase.com/person/michail-eleftheriou,2,,"London, England, United Kingdom",Angel,,,,,https://www.linkedin.com/in/michail-eleftheriou-69042913,2,,,,,"38,304",-0.2,-0.1,-0.3
Netscape,https://www.crunchbase.com/organization/netscape,1,,"Mountain View, California, United States",,"Netscape Communications Corporation offers development, marketing, sale, and support of enterprise software solutions.",http://netscape.aol.com,https://www.twitter.com/aol,,,1,,,,,"2,005",-0.3,-0.8,-1.8
Derek Draper,https://www.crunchbase.com/person/derek-draper,1,,,Angel,,,,,https://www.linkedin.com/in/derekdraper,1,,,,,"16,000",-0.2,-0.8,-1.2
Kent Schoen,https://www.crunchbase.com/person/kent-schoen,1,,,Angel,"Kent joins the Leap Commerce team after spending five years at Facebook, where he lead its product management, marketing, and operations efforts for Facebook Ads. When he's not helping to build insanely great products, he enjoys spending time with his family and his dog, growing interesting new configurations of facial hair, and vacationing in exotic locations. Prior to Facebook, he was Director of Technology for LookSmart, where he architected its syndication and advertising platforms. Kent previously operated a consultancy focused on online marketing and technology and began his career as a software engineer at TouchVision.",,,,,1,,,,,"24,217",-0.2,-0.6,-0.9
LANIT,https://www.crunchbase.com/organization/lanit,1,,,,LANIT is consists of various IT-companies providing full range of IT-services.,http://lanit.ru/en/about/index.php,https://www.twitter.com/lanit_life,https://www.facebook.com/lanit.life,,1,1,,,,"27,258",-0.4,-0.7,-0.3
Jules Gardner,https://www.crunchbase.com/person/jules-gardner,1,1,"New Jersey, United States, North America",Angel,"Jules Gardner founded PointRoll Inc. and served as its Chief Executive Officer and sole financier. Gardner served as a Principal of West Coast Entertainment, where he also served as an Executive Vice President of Marketing for several years and also served as President until it was sold. Prior to West Coast Entertainment, he served as a Vice President of Marketing at Sorbee International, a manufacturer of Sugar Free candy. Gardner serves as a Member of Advisory board at JAGTAG, Inc.",,,,,1,,,,,"27,817",1.3,0.8,0.0
FH Capital,https://www.crunchbase.com/organization/fh-capital,1,,,,FH Capital,,,,,1,1,,,,"28,151",-0.2,0.0,-0.3
Sev Paso,https://www.crunchbase.com/person/sev-paso,1,,"New York, New York, United States",Angel,,,,,http://www.linkedin.com/pub/sev-paso/5/168/220,1,,,,,"29,883",-0.3,-0.5,-0.5
Chris Miller,https://www.crunchbase.com/person/chris-miller,1,,"Denver, Colorado, United States",Angel,"Chris Millerâ€™s background includes a mix of entrepreneurial management, sales and financial strategy.  As President of ResponseLink, he organically grew revenues significantly in 30 months post-acquisition.  Under his leadership, the team grew from 7 to 60 employees and the subscriber base grew by 75%.  At ResponseLink, Chris managed sales, marketing and operations and was responsible for hiring ResponseLinkâ€™s executive team.  Prior to ResponseLink, Chris served as a Senior Executive for IMG, where he was responsible for building corporate relationships, developing and analyzing new opportunities and driving revenue to IMGâ€™s $40m+ Golf Division.  As a venture capitalist, Chris spent 4 years investing in early stage technology companies for Draper Atlantic, an affiliate of Draper Fisher Jurvetson, which manages over $1B in its funds.  At Draper, Chris served as a Director on the Boards of 5 companies and sourced several deals, including GlobalLogic, a leading provider of global",,,,https://www.linkedin.com/company/paladina-health,1,,,,,"33,020",-0.4,-0.8,-0.2
Chris Saridakis,https://www.crunchbase.com/person/chris-saridakis,1,1,,Angel,"Chris Saridakis has served as president of eBay Enterprise since June 2011 and sits on the board of advisors for the Wharton School's, Jay H. Baker Retailing Center.  Previously, Saridakis was the chief executive officer of eBay Enterprise's Global Marketing Services division.  He joined eBay Enterprise from Gannett Co., Inc., a leading news and information service, where he served as senior vice president and chief digital officer since 2008 and head of Gannett Marketing Services.  Prior to Gannett, he was CEO of PointRoll, and helped build the company into the leader in rich media, serving the world's top creative and media ad agencies.  He has also served as senior vice president and general manager of DoubleClick's Global TechSolution division.",,http://twitter.com/csaridakis,,http://www.linkedin.com/profile/view?id=3944955,1,,,,,"35,096",0.6,0.3,-0.9
Donatas Juskus,https://www.crunchbase.com/person/donatas-j,1,,"Lithuania, Europe",Angel,,,,,https://lt.linkedin.com/in/donatasjuskus,1,,,,,"35,799",-0.1,0.8,1.2
Oliver Hausler,https://www.crunchbase.com/person/oliver-hausler,1,,,Angel,Oliver is the co-founder of Casinity.,,,,,1,,,,,"36,912",-0.3,1.1,1.5
Silver Linings Venture Capital,https://www.crunchbase.com/organization/silver-linings-venture-capital,1,,,Micro VC,Silver Linings Venture Capital was added in 2013.,,,,,1,,,,,"37,511",-0.3,-0.1,0.2
Andrew Schwartz,https://www.crunchbase.com/person/andrew-schwartz,1,,,Angel,"Andrew is responsible for Lattice Engines technology platform and leads the development team. He has participated in a wide variety of software projects, with an emphasis on optimization and messaging systems. Prior to Lattice, he served as technical partner at R.T. Shin and Associates, a DARPA-funded knowledge management startup, as a senior company architect at ProfitLogic, Inc., as an application architect at 724 Solutions, and as team lead at Algorithmics, Inc.",,,,http://www.linkedin.com/pub/andrew-schwartz/0/aa1/495,1,,,,,"37,849",-0.3,-0.1,-0.8
Nikhil Srivastava,https://www.crunchbase.com/person/nikhil-srivastava,1,,"Singapore, Central Region, Singapore",Angel,,,,,https://www.linkedin.com/in/nikhil-srivastava-90b420,1,,,,,"38,168",-0.3,-0.6,0.1
Sean McDade,https://www.crunchbase.com/person/sean-mcdade,1,1,"Philadelphia, Pennsylvania, United States",Angel,"Sean is an entrepreneur who is the founder and CEO of PeopleMetrics, a market research consultancy, located in Center City, Philadelphia. In 2001, PeopleMetrics was one of the first market research firms to develop a Software-as-a-Service (SaaS) platform for collecting survey responses and distributing results in real-time. Prior to PeopleMetrics, Sean spent five years at The Gallup Organization where he was the practice leader of Gallup’s consulting division. Sean has been an angel investor since 2007 and was one of the first investors in Tender Greens, a rapidly growing California-based casual dining restaurant chain. Sean holds a Ph.D. in Business Administration with a specialization in marketing science from Temple University in Philadelphia. He has published eight articles in peer reviewed scholarly journals and has taught over 25 marketing classes at Universities in the Philadelphia region. Sean resides in Center City, Philadelphia with his wife and two kids.",,https://twitter.com/smcdade,,https://www.linkedin.com/in/sean-mcdade-791460,1,,,,,"38,767",-0.3,-0.8,-1.9
